product_key,product_name,category,subcategory,cost,last_sales_date,recency_in_months,product_segments,total_orders,total_sales,total_quantity,total_customers,lifespan,avg_selling_price,avg_order_revenue,avg_monthly_revenue
3,Mountain-100 Black- 38,Bikes,Mountain Bikes,1898,2011-12-27,173,High-Performers,49,165375,49,49,11,3375,3375.0000,15034.0909
4,Mountain-100 Black- 42,Bikes,Mountain Bikes,1898,2011-12-27,173,High-Performers,45,151875,45,45,11,3375,3375.0000,13806.8182
5,Mountain-100 Black- 44,Bikes,Mountain Bikes,1898,2011-12-21,173,High-Performers,60,202500,60,60,11,3375,3375.0000,18409.0909
6,Mountain-100 Black- 48,Bikes,Mountain Bikes,1898,2011-12-26,173,High-Performers,57,192375,57,57,11,3375,3375.0000,17488.6364
7,Mountain-100 Silver- 38,Bikes,Mountain Bikes,1912,2011-12-22,173,High-Performers,58,197200,58,58,11,3400,3400.0000,17927.2727
8,Mountain-100 Silver- 42,Bikes,Mountain Bikes,1912,2011-12-28,173,High-Performers,42,142800,42,42,11,3400,3400.0000,12981.8182
9,Mountain-100 Silver- 44,Bikes,Mountain Bikes,1912,2011-12-12,173,High-Performers,49,166600,49,49,11,3400,3400.0000,15145.4545
10,Mountain-100 Silver- 48,Bikes,Mountain Bikes,1912,2011-12-23,173,High-Performers,36,122400,36,36,11,3400,3400.0000,11127.2727
16,Road-150 Red- 44,Bikes,Road Bikes,2171,2011-12-28,173,High-Performers,281,1005418,281,281,11,3578,3578.0000,91401.6364
17,Road-150 Red- 48,Bikes,Road Bikes,2171,2011-12-28,173,High-Performers,337,1205786,337,337,11,3578,3578.0000,109616.9091
18,Road-150 Red- 52,Bikes,Road Bikes,2171,2011-12-27,173,High-Performers,302,1080556,302,302,11,3578,3578.0000,98232.3636
19,Road-150 Red- 56,Bikes,Road Bikes,2171,2011-12-27,173,High-Performers,295,1055510,295,295,11,3578,3578.0000,95955.4545
20,Road-150 Red- 62,Bikes,Road Bikes,2171,2011-12-28,173,High-Performers,336,1202208,336,336,11,3578,3578.0000,109291.6364
36,Road-650 Black- 44,Bikes,Road Bikes,487,2012-12-26,161,Mid-Range,63,47565,63,63,23,755,755.0000,2068.0435
37,Road-650 Black- 48,Bikes,Road Bikes,487,2012-12-25,161,Mid-Range,60,45552,60,60,20,759.2,759.2000,2277.6000
38,Road-650 Black- 52,Bikes,Road Bikes,487,2012-12-19,161,High-Performers,89,66915,89,89,22,751.9,751.8539,3041.5909
39,Road-650 Black- 58,Bikes,Road Bikes,487,2012-12-18,161,High-Performers,76,57996,76,76,23,763.1,763.1053,2521.5652
40,Road-650 Black- 60,Bikes,Road Bikes,487,2012-12-12,161,High-Performers,76,57156,76,76,22,752.1,752.0526,2598.0000
41,Road-650 Black- 62,Bikes,Road Bikes,487,2012-12-18,161,Mid-Range,65,49047,65,65,23,754.6,754.5692,2132.4783
42,Road-650 Red- 44,Bikes,Road Bikes,487,2012-12-25,161,High-Performers,72,54528,72,72,23,757.3,757.3333,2370.7826
43,Road-650 Red- 48,Bikes,Road Bikes,487,2012-12-27,161,High-Performers,88,66720,88,88,23,758.2,758.1818,2900.8696
44,Road-650 Red- 52,Bikes,Road Bikes,487,2012-12-21,161,Mid-Range,61,46083,61,61,23,755.5,755.4590,2003.6087
45,Road-650 Red- 58,Bikes,Road Bikes,487,2012-12-18,161,High-Performers,74,56346,74,74,22,761.4,761.4324,2561.1818
46,Road-650 Red- 60,Bikes,Road Bikes,487,2012-12-23,161,Mid-Range,53,40071,53,53,22,756.1,756.0566,1821.4091
47,Road-650 Red- 62,Bikes,Road Bikes,487,2012-12-05,162,High-Performers,75,57381,75,75,22,765.1,765.0800,2608.2273
48,Road-250 Red- 44,Bikes,Road Bikes,1519,2012-12-25,161,High-Performers,144,351792,144,144,11,2443,2443.0000,31981.0909
49,Road-250 Red- 48,Bikes,Road Bikes,1519,2012-12-24,161,High-Performers,162,395766,162,162,11,2443,2443.0000,35978.7273
50,Road-250 Red- 52,Bikes,Road Bikes,1519,2012-12-25,161,High-Performers,133,324919,133,133,11,2443,2443.0000,29538.0909
104,Mountain Bottle Cage,Accessories,Bottles and Cages,4,2014-01-28,148,Mid-Range,2025,20340,2034,2004,13,10,10.0444,1564.6154
105,Road Bottle Cage,Accessories,Bottles and Cages,3,2014-01-25,148,Mid-Range,1711,15399,1711,1699,12,9,9.0000,1283.2500
106,Mountain-500 Black- 40,Bikes,Mountain Bikes,295,2013-12-13,149,Mid-Range,48,25920,48,48,11,540,540.0000,2356.3636
107,Mountain-500 Black- 42,Bikes,Mountain Bikes,295,2013-12-25,149,Mid-Range,49,26460,49,49,11,540,540.0000,2405.4545
108,Mountain-500 Black- 44,Bikes,Mountain Bikes,295,2013-12-25,149,Mid-Range,58,31320,58,58,11,540,540.0000,2847.2727
109,Mountain-500 Black- 48,Bikes,Mountain Bikes,295,2013-12-26,149,Mid-Range,56,30240,56,56,11,540,540.0000,2749.0909
110,Mountain-500 Black- 52,Bikes,Mountain Bikes,295,2013-12-24,149,Mid-Range,41,22140,41,41,11,540,540.0000,2012.7273
111,Mountain-500 Silver- 40,Bikes,Mountain Bikes,308,2013-12-26,149,Mid-Range,45,25425,45,45,11,565,565.0000,2311.3636
112,Mountain-500 Silver- 42,Bikes,Mountain Bikes,308,2013-12-27,149,Mid-Range,45,25425,45,45,11,565,565.0000,2311.3636
113,Mountain-500 Silver- 44,Bikes,Mountain Bikes,308,2013-12-25,149,Mid-Range,39,22035,39,39,11,565,565.0000,2003.1818
114,Mountain-500 Silver- 48,Bikes,Mountain Bikes,308,2013-12-27,149,Mid-Range,50,28250,50,50,11,565,565.0000,2568.1818
115,Mountain-500 Silver- 52,Bikes,Mountain Bikes,308,2013-12-25,149,Mid-Range,48,27120,48,48,11,565,565.0000,2465.4545
116,Mountain-400-W Silver- 38,Bikes,Mountain Bikes,420,2013-12-27,149,High-Performers,148,113812,148,148,11,769,769.0000,10346.5455
117,Mountain-400-W Silver- 40,Bikes,Mountain Bikes,420,2013-12-24,149,High-Performers,128,98432,128,128,11,769,769.0000,8948.3636
118,Mountain-400-W Silver- 42,Bikes,Mountain Bikes,420,2013-12-27,149,High-Performers,129,99201,129,129,11,769,769.0000,9018.2727
119,Mountain-400-W Silver- 46,Bikes,Mountain Bikes,420,2013-12-24,149,High-Performers,138,106122,138,138,11,769,769.0000,9647.4545
120,Mountain-200 Black- 38,Bikes,Mountain Bikes,1252,2013-12-28,149,High-Performers,581,1292559,581,564,23,2224.7,2224.7143,56198.2174
121,Mountain-200 Black- 42,Bikes,Mountain Bikes,1252,2013-12-28,149,High-Performers,614,1363128,614,604,23,2220.1,2220.0782,59266.4348
122,Mountain-200 Black- 46,Bikes,Mountain Bikes,1252,2013-12-27,149,High-Performers,620,1373454,620,600,23,2215.2,2215.2484,59715.3913
123,Mountain-200 Silver- 38,Bikes,Mountain Bikes,1266,2013-12-28,149,High-Performers,596,1339394,596,583,23,2247.3,2247.3054,58234.5217
124,Mountain-200 Silver- 42,Bikes,Mountain Bikes,1266,2013-12-28,149,High-Performers,560,1257368,560,547,23,2245.3,2245.3000,54668.1739
125,Mountain-200 Silver- 46,Bikes,Mountain Bikes,1266,2013-12-28,149,High-Performers,579,1298709,579,566,23,2243,2243.0207,56465.6087
126,Road-750 Black- 44,Bikes,Road Bikes,344,2013-12-28,149,High-Performers,360,194400,360,360,11,540,540.0000,17672.7273
127,Road-750 Black- 48,Bikes,Road Bikes,344,2013-12-28,149,High-Performers,363,196020,363,363,11,540,540.0000,17820.0000
128,Road-750 Black- 52,Bikes,Road Bikes,344,2013-12-28,149,High-Performers,386,208440,386,386,12,540,540.0000,17370.0000
129,Road-750 Black- 58,Bikes,Road Bikes,344,2013-12-28,149,High-Performers,334,180360,334,334,11,540,540.0000,16396.3636
130,Road-550-W Yellow- 38,Bikes,Road Bikes,713,2013-12-26,149,High-Performers,270,293760,270,267,23,1088,1088.0000,12772.1739
131,Road-550-W Yellow- 40,Bikes,Road Bikes,713,2013-12-28,149,High-Performers,266,289880,266,264,23,1089.8,1089.7744,12603.4783
132,Road-550-W Yellow- 42,Bikes,Road Bikes,713,2013-12-26,149,High-Performers,306,334440,306,303,23,1092.9,1092.9412,14540.8696
133,Road-550-W Yellow- 44,Bikes,Road Bikes,713,2013-12-27,149,High-Performers,287,312200,287,286,23,1087.8,1087.8049,13573.9130
134,Road-550-W Yellow- 48,Bikes,Road Bikes,713,2013-12-27,149,High-Performers,261,283680,261,258,22,1086.9,1086.8966,12894.5455
135,Road-350-W Yellow- 40,Bikes,Road Bikes,1083,2013-12-27,149,High-Performers,246,418446,246,246,11,1701,1701.0000,38040.5455
136,Road-350-W Yellow- 42,Bikes,Road Bikes,1083,2013-12-27,149,High-Performers,235,399735,235,235,11,1701,1701.0000,36339.5455
137,Road-350-W Yellow- 44,Bikes,Road Bikes,1083,2013-12-27,149,High-Performers,216,367416,216,216,11,1701,1701.0000,33401.4545
138,Road-350-W Yellow- 48,Bikes,Road Bikes,1083,2013-12-25,149,High-Performers,232,394632,232,232,11,1701,1701.0000,35875.6364
139,Road-250 Black- 44,Bikes,Road Bikes,1555,2013-12-27,149,High-Performers,271,628384,271,266,23,2318.8,2318.7601,27321.0435
